Index,TN,TP,FN,FP,precision,recall,f1_score
0,0,38,0,0,1,1,1
1,3,29,2,4,0.8787878788,0.935483871,0.90625
2,33,2,1,2,0.5,0.6666666667,0.5714285714
3,11,22,2,3,0.88,0.9166666667,0.8979591837
4,6,19,5,8,0.7037037037,0.7916666667,0.7450980392
5,16,18,2,2,0.9,0.9,0.9
6,20,4,9,5,0.4444444444,0.3076923077,0.3636363636
7,20,4,3,11,0.2666666667,0.5714285714,0.3636363636
8,27,4,2,5,0.4444444444,0.6666666667,0.5333333333
9,31,3,2,2,0.6,0.6,0.6
10,16,15,6,1,0.9375,0.7142857143,0.8108108108
11,16,13,4,5,0.7222222222,0.7647058824,0.7428571429
12,16,14,5,3,0.8235294118,0.7368421053,0.7777777778
13,20,4,7,7,0.3636363636,0.3636363636,0.3636363636
14,7,20,4,7,0.7407407407,0.8333333333,0.7843137255
15,21,9,4,4,0.6923076923,0.6923076923,0.6923076923
16,17,7,7,7,0.5,0.5,0.5
17,33,0,4,1,0,0,Null
18,31,0,4,3,0,0,Null
19,31,0,5,2,0,0,Null
20,31,1,3,3,0.25,0.25,0.25
21,38,0,0,0,Null,Null,Null
22,32,3,2,1,0.75,0.6,0.6666666667
23,32,1,4,1,0.5,0.2,0.2857142857
24,36,1,0,1,0.5,1,0.6666666667
25,35,0,1,2,0,0,Null
26,38,0,0,0,Null,Null,Null
